,Hour,TARGET,DHI,DNI,WS,RH,T
164,10,34.90926187,49,904,2.5,45.71,5.6
165,10,39.60110582,50,932,2.3,43.86,6.2
166,11,43.16679751,53,950,2.2,41.47,6.8
167,11,45.23124681,54,958,2.2,41.18,6.9
168,12,44.94967512,64,915,2.1,39.2,7.0
169,12,32.09357554,183,356,2.1,39.74,6.8
170,13,27.87082855,160,318,2.1,40.96,6.5
171,13,7.882701897,68,40,1.9,42.4,6.0
172,14,3.3783230910000004,36,0,1.8,45.7,5.4
173,14,3.753729453,38,5,1.5,48.65,4.5
174,15,6.569091519,47,91,1.3,50.43,3.6
175,15,3.84766149,34,40,1.2,54.96,2.4
176,16,1.5015462380000002,16,2,1.1,55.24,1.2
177,16,0.375386559,4,0,1.1,55.24,1.2
178,17,0.0,0,0,1.1,58.2,-0.5
179,17,0.0,0,0,1.0,60.8,-1.1
180,18,0.0,0,0,0.9,59.93,-1.7
181,18,0.0,0,0,0.8,62.25,-2.2
182,19,0.0,0,0,0.8,61.77,-2.8
183,19,0.0,0,0,0.7,62.7,-3.0
184,20,0.0,0,0,0.6,62.49,-3.3
185,20,0.0,0,0,0.8,63.99,-3.6
186,21,0.0,0,0,0.9,63.12,-4.0
187,21,0.0,0,0,1.2,65.54,-4.5
188,22,0.0,0,0,1.5,63.06,-5.0
189,22,0.0,0,0,1.7,65.0,-5.4
190,23,0.0,0,0,2.0,60.61,-5.7
191,23,0.0,0,0,2.2,61.54,-5.9
192,0,0.0,0,0,2.4,57.25,-6.0
193,0,0.0,0,0,2.4,57.25,-6.0
194,1,0.0,0,0,2.5,55.26,-6.1
195,1,0.0,0,0,2.5,55.26,-6.1
196,2,0.0,0,0,2.6,54.25,-6.0
197,2,0.0,0,0,2.6,53.84,-5.9
198,3,0.0,0,0,2.6,54.41,-5.9
199,3,0.0,0,0,2.6,53.59,-5.7
200,4,0.0,0,0,2.5,54.62,-5.6
201,4,0.0,0,0,2.5,54.27,-5.5
202,5,0.0,0,0,2.4,54.98,-5.3
203,5,0.0,0,0,2.6,53.34,-4.9
204,6,0.0,0,0,2.7,54.36,-4.5
205,6,0.0,0,0,2.9,51.96,-3.9
206,7,0.0,0,0,3.1,53.54,-3.3
207,7,1.501608945,13,174,3.2,50.89,-2.6
208,8,7.60184516,28,536,3.3,51.39,-2.0
209,8,15.10967433,37,708,3.1,47.75,-1.0
210,9,22.71118636,42,818,2.9,46.76,0.0
211,9,29.56172404,45,883,2.7,43.14,1.1
212,10,35.5675247,46,932,2.6,39.34,2.1
213,10,40.72881503,50,964,2.2,37.97,2.6
214,11,44.29468907,52,980,1.8,34.77,3.1
215,11,46.45296356,52,990,1.4,34.04,3.4
216,12,47.29740695,53,994,1.0,31.94,3.7
217,12,46.640396,52,992,0.7,31.5,3.9
218,13,44.48193845,50,983,0.4,30.63,4.0
219,13,41.10365372,49,967,0.5,31.06,3.8
220,14,36.31769168,47,942,0.6,31.86,3.6
221,14,30.49958812,44,905,0.7,33.47,2.9
222,15,23.64911933,39,849,0.8,40.15,2.1
223,15,16.14174623,34,760,0.9,45.03,0.5
224,16,8.540269478999999,26,611,1.0,48.64,-1.2
225,16,1.970831418,15,244,1.0,48.64,-1.2
226,17,0.0,0,0,1.0,54.19,-2.7
227,17,0.0,0,0,0.8,55.41,-3.0
228,18,0.0,0,0,0.6,58.09,-3.4
229,18,0.0,0,0,0.6,59.85,-3.8
230,19,0.0,0,0,0.6,61.67,-4.1
231,19,0.0,0,0,0.7,62.6,-4.3
232,20,0.0,0,0,0.9,60.62,-4.4
233,20,0.0,0,0,1.3,61.08,-4.5
234,21,0.0,0,0,1.7,58.2,-4.6
235,21,0.0,0,0,1.9,57.76,-4.5
236,22,0.0,0,0,2.1,56.23,-4.4
237,22,0.0,0,0,2.1,55.81,-4.3
238,23,0.0,0,0,2.2,54.18,-4.2
239,23,0.0,0,0,2.1,54.52,-4.3
240,0,0.0,0,0,2.1,52.83,-4.4
241,0,0.0,0,0,2.0,54.44,-4.8
242,1,0.0,0,0,1.9,52.78,-5.1
243,1,0.0,0,0,1.8,53.59,-5.3
244,2,0.0,0,0,1.7,52.63,-5.5
245,2,0.0,0,0,1.6,52.63,-5.5
246,3,0.0,0,0,1.5,53.11,-5.6
247,3,0.0,0,0,1.4,52.71,-5.5
248,4,0.0,0,0,1.3,53.63,-5.5
249,4,0.0,0,0,1.2,53.23,-5.4
250,5,0.0,0,0,1.2,54.27,-5.3
251,5,0.0,0,0,1.1,53.46,-5.1
252,6,0.0,0,0,1.0,55.11,-4.9
253,6,0.0,0,0,0.9,53.4,-4.5
254,7,0.0,0,0,0.8,54.74,-4.2
255,7,0.656958245,7,21,0.7,50.8,-3.2
256,8,3.378605275,28,86,0.6,51.47,-2.2
257,8,8.634099617,49,247,0.6,47.13,-1.0
258,9,21.77265972,44,771,0.6,48.31,0.2
259,9,22.05400884,82,501,1.2,45.6,1.0
260,10,11.16768878,106,35,1.7,48.86,1.7
261,10,14.35848856,129,61,2.0,49.57,1.5
262,11,26.74626296,182,240,2.3,59.22,1.3
263,11,35.56783741,153,504,2.5,59.15,1.3
264,12,43.4509465,81,841,2.8,65.92,1.3
265,12,41.29211311,96,765,2.8,62.18,2.1
266,13,42.51173359,61,907,2.8,61.85,2.9
267,13,39.22703323,58,894,2.3,60.48,3.2
268,14,34.72234088,53,873,1.9,61.16,3.6
269,14,29.09188285,50,832,1.2,63.81,3.0
270,15,19.51984366,66,564,0.6,68.01,2.4
271,15,15.20313895,39,669,0.7,73.56,1.3
272,16,7.507805447000001,32,444,0.7,75.94,0.3
273,16,1.032323249,10,18,0.7,75.94,0.3
274,17,0.0,0,0,0.7,80.88,-1.1
275,17,0.0,0,0,0.6,82.67,-1.4
276,18,0.0,0,0,0.5,82.47,-1.7
277,18,0.0,0,0,0.4,84.21,-2.0
278,19,0.0,0,0,0.3,83.84,-2.2
279,19,0.0,0,0,0.4,84.46,-2.3
280,20,0.0,0,0,0.5,83.07,-2.4
281,20,0.0,0,0,0.5,83.69,-2.5
282,21,0.0,0,0,0.5,82.74,-2.6
283,21,0.0,0,0,0.5,82.74,-2.6
284,22,0.0,0,0,0.5,82.0,-2.6
285,22,0.0,0,0,0.6,82.0,-2.6
286,23,0.0,0,0,0.7,81.38,-2.6
287,23,0.0,0,0,0.8,81.99,-2.7
288,0,0.0,0,0,0.8,80.92,-2.8
289,0,0.0,0,0,0.9,81.53,-2.9
290,1,0.0,0,0,1.0,79.91,-3.0
291,1,0.0,0,0,0.9,79.91,-3.0
292,2,0.0,0,0,0.9,77.2,-3.0
293,2,0.0,0,0,1.1,78.36,-3.2
294,3,0.0,0,0,1.2,76.78,-3.4
295,3,0.0,0,0,1.8,77.93,-3.6
296,4,0.0,0,0,2.4,76.89,-3.8
297,4,0.0,0,0,2.9,78.64,-4.1
298,5,0.0,0,0,3.5,77.21,-4.3
299,5,0.0,0,0,3.6,79.07,-4.6
300,6,0.0,0,0,3.8,74.74,-4.9
301,6,0.0,0,0,3.9,76.45,-5.2
302,7,0.0,0,0,4.1,69.45,-5.5
303,7,0.469267235,5,0,4.5,68.92,-5.4
304,8,1.877068939,20,0,5.0,63.5,-5.4
305,8,3.191010182,34,0,5.3,62.54,-5.2
306,9,4.692656876,50,1,5.6,61.26,-5.1
307,9,6.382006337999999,66,7,5.8,60.8,-5.0
308,10,12.57627897,119,41,5.9,60.54,-4.8
309,10,15.95496324,142,71,6.0,60.08,-4.7
310,11,13.89018803,137,26,6.1,59.66,-4.6
311,11,10.88690413,108,18,6.1,59.66,-4.6
312,12,11.35616724,111,23,6.2,59.63,-4.6
313,12,14.45331964,137,38,6.3,60.08,-4.7
314,13,12.20086765,117,29,6.4,60.25,-4.8
315,13,7.6959572760000015,78,9,6.5,61.64,-5.1
316,14,9.573041066,93,24,6.6,61.52,-5.3
317,14,10.60545116,104,30,6.5,62.46,-5.5
318,15,10.23005944,99,40,6.5,61.5,-5.7
319,15,6.757492734,68,22,6.3,63.0,-6.0
320,16,3.754175007,38,16,6.0,62.02,-6.3
321,16,0.938543752,10,5,6.0,62.02,-6.3
322,17,0.0,0,0,5.4,61.99,-6.8
323,17,0.0,0,0,5.1,62.46,-6.9
324,18,0.0,0,0,4.9,60.98,-7.1
325,18,0.0,0,0,4.7,61.45,-7.2
326,19,0.0,0,0,4.5,59.31,-7.3
327,19,0.0,0,0,4.3,59.77,-7.4
328,20,0.0,0,0,4.1,57.3,-7.5
329,20,0.0,0,0,4.0,58.2,-7.7
330,21,0.0,0,0,3.8,55.23,-7.8
331,21,0.0,0,0,3.6,56.09,-8.0
332,22,0.0,0,0,3.4,53.54,-8.2
333,22,0.0,0,0,3.4,53.89,-8.3
334,23,0.0,0,0,3.4,51.96,-8.4
335,23,0.0,0,0,3.4,51.96,-8.4
0,0,0.0,0,0,2.8,70.34,-6.1
1,0,0.0,0,0,2.9,71.97,-6.4
2,1,0.0,0,0,2.9,69.77,-6.7
3,1,0.0,0,0,2.9,71.95,-7.1
4,2,0.0,0,0,2.9,69.48,-7.4
5,2,0.0,0,0,2.9,72.13,-7.9
6,3,0.0,0,0,2.9,69.76,-8.3
7,3,0.0,0,0,2.9,71.97,-8.7
8,4,0.0,0,0,2.9,68.56,-9.1
9,4,0.0,0,0,2.7,70.75,-9.5
10,5,0.0,0,0,2.6,66.5,-9.8
11,5,0.0,0,0,2.4,68.63,-10.2
12,6,0.0,0,0,2.2,64.25,-10.5
13,6,0.0,0,0,2.1,64.84,-10.6
14,7,0.0,0,0,1.9,58.34,-10.7
15,7,0.657004451,7,0,2.3,53.48,-9.6
16,8,3.472695835,35,23,2.7,45.57,-8.5
17,8,11.63805762,53,407,3.2,41.26,-7.2
18,9,20.084748,58,638,3.7,35.56,-5.9
19,9,27.87438184,67,753,3.9,33.46,-5.1
20,10,30.3142636,94,640,4.1,31.5,-4.2
21,10,25.80921574,171,260,4.2,30.31,-3.7
22,11,33.59868476,149,486,4.2,29.56,-3.1
23,11,40.63733674,107,728,4.2,28.7,-2.7
24,12,28.530475899999995,189,253,4.3,28.16,-2.3
25,12,26.74729176,196,197,4.3,27.95,-2.2
26,13,21.21010981,181,103,4.3,27.55,-2.1
27,13,21.21017973,174,129,4.3,28.2,-2.4
28,14,19.23936461,152,146,4.2,28.04,-2.6
29,14,13.42073319,122,67,4.2,29.53,-3.3
30,15,9.572893786,93,34,4.1,30.39,-3.9
31,15,6.006607402,62,10,3.8,33.56,-5.2
32,16,3.003343306,32,0,3.5,34.98,-6.4
33,16,0.656981348,7,0,3.5,34.98,-6.4
34,17,0.0,0,0,2.8,42.42,-8.4
35,17,0.0,0,0,2.7,44.17,-8.9
36,18,0.0,0,0,2.6,48.98,-9.5
37,18,0.0,0,0,2.5,49.76,-9.7
38,19,0.0,0,0,2.5,52.98,-10.0
39,19,0.0,0,0,2.4,52.98,-10.0
40,20,0.0,0,0,2.4,54.57,-10.1
41,20,0.0,0,0,2.3,54.57,-10.1
42,21,0.0,0,0,2.2,55.6,-10.1
43,21,0.0,0,0,2.1,56.04,-10.2
44,22,0.0,0,0,2.0,57.47,-10.3
45,22,0.0,0,0,2.0,57.93,-10.4
46,23,0.0,0,0,2.0,59.22,-10.5
47,23,0.0,0,0,2.0,59.69,-10.6
48,0,0.0,0,0,2.0,60.67,-10.7
49,0,0.0,0,0,2.0,60.67,-10.7
50,1,0.0,0,0,2.1,61.33,-10.8
51,1,0.0,0,0,2.1,61.82,-10.9
52,2,0.0,0,0,2.1,61.93,-10.9
53,2,0.0,0,0,2.1,62.42,-11.0
54,3,0.0,0,0,2.0,62.13,-11.0
55,3,0.0,0,0,2.0,62.63,-11.1
56,4,0.0,0,0,1.9,62.57,-11.2
57,4,0.0,0,0,1.8,62.65,-11.2
58,5,0.0,0,0,1.8,62.55,-11.3
59,5,0.0,0,0,1.8,62.55,-11.3
60,6,0.0,0,0,1.7,62.43,-11.4
61,6,0.0,0,0,1.7,63.52,-11.6
62,7,0.0,0,0,1.7,63.21,-11.7
63,7,0.375438541,4,0,1.6,61.71,-11.4
64,8,1.783327189,19,0,1.5,60.67,-11.1
65,8,6.7578269,58,82,1.4,57.84,-10.5
66,9,13.32786316,92,204,1.2,56.38,-10.0
67,9,14.26633533,91,200,1.2,53.36,-9.3
68,10,7.602404887,79,5,1.3,51.95,-8.7
69,10,12.95214573,120,44,1.4,49.13,-8.0
70,11,24.2147215,180,181,1.6,48.32,-7.4
71,11,29.84585529,191,284,1.8,46.14,-6.8
72,12,29.93951278,196,271,2.0,45.17,-6.2
73,12,31.6287854,184,339,2.2,44.15,-5.9
74,13,33.88116881,148,491,2.4,43.8,-5.6
75,13,29.4700471,144,421,2.5,43.8,-5.6
76,14,22.90029138,145,271,2.6,43.92,-5.6
77,14,18.01996082,128,203,2.6,44.99,-5.9
78,15,15.01668352,97,246,2.6,45.76,-6.2
79,15,9.667053758,71,173,2.5,47.91,-6.8
80,16,4.692780641000001,40,90,2.4,48.8,-7.5
81,16,0.938556128,10,11,2.4,48.8,-7.5
82,17,0.0,0,0,2.5,51.73,-8.4
83,17,0.0,0,0,2.4,52.96,-8.7
84,18,0.0,0,0,2.3,54.44,-8.9
85,18,0.0,0,0,2.2,55.3,-9.1
86,19,0.0,0,0,2.1,56.87,-9.3
87,19,0.0,0,0,2.0,57.32,-9.4
88,20,0.0,0,0,1.8,58.41,-9.5
89,20,0.0,0,0,1.6,58.87,-9.6
90,21,0.0,0,0,1.4,59.84,-9.7
91,21,0.0,0,0,1.3,60.39,-9.8
92,22,0.0,0,0,1.2,61.04,-9.9
93,22,0.0,0,0,1.1,62.02,-10.1
94,23,0.0,0,0,0.9,62.31,-10.2
95,23,0.0,0,0,0.8,63.81,-10.5
96,0,0.0,0,0,0.7,64.13,-10.8
97,0,0.0,0,0,0.7,66.21,-11.2
98,1,0.0,0,0,0.7,66.06,-11.6
99,1,0.0,0,0,0.7,67.67,-11.9
100,2,0.0,0,0,0.7,66.41,-12.1
101,2,0.0,0,0,0.8,67.49,-12.3
102,3,0.0,0,0,0.8,66.51,-12.5
103,3,0.0,0,0,0.9,66.96,-12.6
104,4,0.0,0,0,1.0,65.0,-12.7
105,4,0.0,0,0,1.1,65.53,-12.8
106,5,0.0,0,0,1.2,62.64,-12.8
107,5,0.0,0,0,1.3,62.21,-12.7
108,6,0.0,0,0,1.4,59.17,-12.7
109,6,0.0,0,0,1.7,57.75,-12.4
110,7,0.0,0,0,1.9,53.81,-12.1
111,7,1.407883698,12,184,2.6,48.12,-10.7
112,8,7.88402742,24,624,3.2,44.33,-9.3
113,8,15.58006597,31,781,3.6,39.13,-7.7
114,9,21.02333383,49,721,4.0,35.79,-6.1
115,9,28.15578655,56,801,3.9,31.94,-4.6
116,10,35.56955733,46,931,3.8,30.11,-3.1
117,10,41.29397371,43,996,3.7,27.76,-2.0
118,11,44.95362735,44,1013,3.5,26.1,-1.0
119,11,47.20558614,44,1023,3.5,24.62,-0.2
120,12,48.04979644,43,1028,3.4,23.4,0.6
121,12,47.48655633,43,1026,3.4,22.9,0.9
122,13,45.23408041,41,1014,3.4,23.26,1.2
123,13,41.4802604,41,988,3.4,23.43,1.1
124,14,36.78792325,39,963,3.4,24.65,1.1
125,14,30.96966343,37,927,3.0,25.93,0.4
126,15,23.93128766,34,864,2.5,32.34,-0.3
127,15,16.51755318,30,780,2.2,36.09,-1.8
128,16,9.00972298,24,642,1.9,42.54,-3.3
129,16,2.440133307,16,318,1.9,42.54,-3.3
130,17,0.0,0,0,2.5,45.65,-4.6
131,17,0.0,0,0,2.8,45.99,-4.7
132,18,0.0,0,0,3.1,46.86,-4.8
133,18,0.0,0,0,3.4,46.51,-4.7
134,19,0.0,0,0,3.7,46.8,-4.6
135,19,0.0,0,0,3.7,46.8,-4.6
136,20,0.0,0,0,3.8,47.96,-4.6
137,20,0.0,0,0,3.9,47.96,-4.6
138,21,0.0,0,0,3.9,49.94,-4.6
139,21,0.0,0,0,4.0,49.56,-4.5
140,22,0.0,0,0,4.0,52.07,-4.5
141,22,0.0,0,0,3.9,52.01,-4.5
142,23,0.0,0,0,3.9,53.72,-4.4
143,23,0.0,0,0,3.9,53.31,-4.3
144,0,0.0,0,0,3.9,54.93,-4.2
145,0,0.0,0,0,3.8,54.52,-4.1
146,1,0.0,0,0,3.7,56.81,-4.0
147,1,0.0,0,0,3.6,55.9,-3.8
148,2,0.0,0,0,3.4,58.48,-3.7
149,2,0.0,0,0,3.2,58.05,-3.6
150,3,0.0,0,0,3.0,60.69,-3.6
151,3,0.0,0,0,3.0,60.24,-3.5
152,4,0.0,0,0,2.9,61.65,-3.5
153,4,0.0,0,0,3.0,61.19,-3.4
154,5,0.0,0,0,3.1,61.61,-3.3
155,5,0.0,0,0,3.3,61.61,-3.3
156,6,0.0,0,0,3.4,61.66,-3.2
157,6,0.0,0,0,3.5,61.59,-3.2
158,7,0.0,0,0,3.6,61.46,-3.2
159,7,1.313899164,11,179,3.8,56.23,-2.0
160,8,7.320206848,22,580,4.1,53.75,-0.9
161,8,14.64015626,29,737,4.2,47.86,0.7
162,9,21.95982411,33,828,4.4,44.95,2.4
163,9,28.81009519,36,889,4.2,40.72,3.8
164,10,34.72173031,38,929,3.9,38.26,5.2
165,10,38.56893428,54,895,3.7,36.2,6.0
166,11,33.87655196,141,510,3.5,34.35,6.8
167,11,27.11995013,186,230,3.3,33.88,7.0
168,12,34.62712664,170,436,3.1,33.53,7.2
169,12,29.09057197,203,236,2.9,33.76,7.1
170,13,23.92936776,198,131,2.6,34.27,7.0
171,13,18.76823471,169,75,2.4,35.46,6.5
172,14,17.82990136,151,106,2.2,37.52,6.1
173,14,19.42546452,112,298,1.8,40.77,4.9
174,15,17.17346324,71,436,1.4,46.75,3.7
175,15,11.07380614,54,339,1.2,52.73,2.0
176,16,7.601644661,31,437,1.0,53.91,0.4
177,16,2.440034089,17,276,1.0,53.91,0.4
178,17,0.0,0,0,0.7,55.5,-0.9
179,17,0.0,0,0,0.5,57.15,-1.3
180,18,0.0,0,0,0.3,57.55,-1.6
181,18,0.0,0,0,0.2,58.76,-1.9
182,19,0.0,0,0,0.2,59.55,-2.3
183,19,0.0,0,0,0.3,60.43,-2.5
184,20,0.0,0,0,0.4,59.51,-2.7
185,20,0.0,0,0,0.5,60.4,-2.9
186,21,0.0,0,0,0.5,59.45,-3.2
187,21,0.0,0,0,0.6,60.79,-3.5
188,22,0.0,0,0,0.6,60.3,-3.8
189,22,0.0,0,0,0.6,61.6,-4.1
190,23,0.0,0,0,0.6,61.43,-4.4
191,23,0.0,0,0,0.6,62.83,-4.7
192,0,0.0,0,0,0.7,62.81,-4.9
193,0,0.0,0,0,0.7,63.77,-5.1
194,1,0.0,0,0,0.7,64.16,-5.3
195,1,0.0,0,0,0.7,64.64,-5.4
196,2,0.0,0,0,0.7,64.49,-5.4
197,2,0.0,0,0,0.5,64.0,-5.3
198,3,0.0,0,0,0.4,64.52,-5.3
199,3,0.0,0,0,0.5,64.52,-5.3
200,4,0.0,0,0,0.7,65.73,-5.3
201,4,0.0,0,0,1.5,66.81,-5.5
202,5,0.0,0,0,2.4,67.63,-5.7
203,5,0.0,0,0,3.4,71.43,-6.4
204,6,0.0,0,0,4.5,70.4,-7.0
205,6,0.0,0,0,5.0,74.31,-7.7
206,7,0.0,0,0,5.5,68.15,-8.4
207,7,0.375427402,4,0,5.3,69.85,-8.7
208,8,1.5017162080000002,16,0,5.2,63.34,-9.1
209,8,2.440296883,26,0,5.0,64.93,-9.4
210,9,3.660457392,39,0,4.7,59.52,-9.7
211,9,5.725343375,60,2,4.6,60.54,-9.9
