,id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
127,1.csv_Day7_15h30m,11.32,15.06,15.51,16.26,16.29,16.92,18.07,17.55,18.92
128,1.csv_Day7_16h00m,6.13,8.35,8.99,9.31,9.66,9.73,9.26,9.97,10.98
129,1.csv_Day7_16h30m,2.31,1.92,2.11,2.12,2.31,2.21,2.17,3.72,3.77
130,1.csv_Day7_17h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.09
131,1.csv_Day7_17h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
132,1.csv_Day7_18h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
133,1.csv_Day7_18h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
134,1.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
135,1.csv_Day7_19h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
136,1.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,1.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,1.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,1.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,1.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,1.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,1.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,1.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,1.csv_Day8_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,1.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
154,1.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
155,1.csv_Day8_5h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
156,1.csv_Day8_6h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
157,1.csv_Day8_6h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
158,1.csv_Day8_7h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
159,1.csv_Day8_7h30m,1.99,2.18,1.43,1.15,0.69,1.3,1.71,1.66,3.0
160,1.csv_Day8_8h00m,5.79,7.02,6.53,6.0,5.9,6.16,6.56,7.32,8.5
161,1.csv_Day8_8h30m,14.13,14.65,15.22,14.99,14.25,14.45,14.63,15.21,17.74
162,1.csv_Day8_9h00m,21.98,22.24,22.83,23.33,22.11,22.8,23.52,23.76,24.97
163,1.csv_Day8_9h30m,25.67,26.43,27.3,31.07,29.7,29.91,30.65,31.78,32.63
164,1.csv_Day8_10h00m,31.97,32.84,31.23,35.66,35.64,35.55,37.47,35.66,37.49
165,1.csv_Day8_10h30m,35.16,38.11,34.17,40.58,42.04,39.28,42.05,41.38,42.67
166,1.csv_Day8_11h00m,34.18,38.17,36.33,42.65,40.75,43.7,43.4,44.04,45.22
167,1.csv_Day8_11h30m,35.17,38.87,42.45,44.68,43.85,45.42,47.04,45.68,50.61
168,1.csv_Day8_12h00m,35.47,40.09,41.45,46.58,47.53,47.64,48.32,48.14,51.99
169,1.csv_Day8_12h30m,34.11,38.53,41.87,44.69,47.47,46.04,48.19,46.81,51.41
170,1.csv_Day8_13h00m,33.36,39.47,37.52,41.51,41.21,41.76,42.71,44.52,45.55
171,1.csv_Day8_13h30m,33.19,37.64,34.41,38.17,39.72,38.63,40.79,41.28,42.6
172,1.csv_Day8_14h00m,32.44,36.04,32.97,34.59,34.94,34.9,36.38,37.8,38.82
173,1.csv_Day8_14h30m,24.87,31.79,28.28,29.52,29.81,29.48,30.64,33.28,34.96
174,1.csv_Day8_15h00m,22.89,23.6,22.77,22.13,22.0,22.31,23.5,24.65,26.6
175,1.csv_Day8_15h30m,15.19,16.13,15.75,15.49,14.23,15.28,15.97,16.66,19.37
176,1.csv_Day8_16h00m,7.75,7.79,7.33,7.21,7.76,8.33,8.52,9.25,10.31
177,1.csv_Day8_16h30m,3.19,2.37,1.47,1.77,1.91,2.53,2.62,2.95,4.47
178,1.csv_Day8_17h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
179,1.csv_Day8_17h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
180,1.csv_Day8_18h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
181,1.csv_Day8_18h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
182,1.csv_Day8_19h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
183,1.csv_Day8_19h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
184,1.csv_Day8_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,1.csv_Day8_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1.csv_Day8_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,1.csv_Day8_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1.csv_Day8_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,1.csv_Day8_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,1.csv_Day8_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,1.csv_Day8_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,2.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,2.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,2.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,2.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,2.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,2.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,2.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,2.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,2.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
202,2.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
203,2.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
204,2.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
205,2.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
206,2.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.16,0.09
207,2.csv_Day7_7h30m,0.67,1.26,1.22,1.65,1.29,1.52,2.44,3.21,4.05
208,2.csv_Day7_8h00m,3.59,5.47,6.04,7.51,7.72,7.37,8.67,8.77,10.27
209,2.csv_Day7_8h30m,7.58,11.88,13.09,14.38,14.55,15.55,15.35,16.35,18.2
210,2.csv_Day7_9h00m,9.72,17.1,20.01,22.37,22.92,23.43,23.92,24.83,26.03
211,2.csv_Day7_9h30m,11.73,21.56,24.73,28.35,28.92,29.84,31.47,31.8,32.96
212,2.csv_Day7_10h00m,17.05,27.48,31.6,35.31,35.2,36.45,36.4,35.98,39.95
213,2.csv_Day7_10h30m,19.73,28.79,35.27,39.17,39.46,42.6,42.84,44.32,45.29
214,2.csv_Day7_11h00m,22.03,29.47,35.5,40.93,42.36,44.94,46.56,47.33,48.64
215,2.csv_Day7_11h30m,24.96,34.65,40.23,44.79,46.75,48.65,49.5,50.73,50.82
216,2.csv_Day7_12h00m,26.15,35.27,42.17,45.99,47.86,48.92,49.79,50.7,53.0
217,2.csv_Day7_12h30m,26.59,36.93,42.28,45.85,47.47,48.88,49.89,51.03,52.68
218,2.csv_Day7_13h00m,24.79,35.57,38.09,42.28,44.79,46.06,48.08,48.81,50.47
219,2.csv_Day7_13h30m,19.69,31.3,33.14,37.05,39.36,40.24,42.76,46.25,45.88
220,2.csv_Day7_14h00m,17.61,27.8,30.62,35.44,36.51,37.48,39.22,40.69,43.13
221,2.csv_Day7_14h30m,12.81,22.48,25.58,29.29,30.05,31.34,33.08,34.77,36.0
222,2.csv_Day7_15h00m,10.92,18.3,21.72,24.55,24.85,26.12,26.8,27.43,29.46
223,2.csv_Day7_15h30m,7.82,13.96,15.69,17.73,17.73,19.41,20.83,21.52,23.43
224,2.csv_Day7_16h00m,6.03,10.54,10.67,11.57,12.29,12.75,13.19,14.05,15.71
225,2.csv_Day7_16h30m,3.22,4.81,4.99,5.7,5.46,5.9,6.55,7.65,7.4
226,2.csv_Day7_17h00m,1.02,1.56,1.4,2.06,1.64,1.53,1.59,1.67,2.05
227,2.csv_Day7_17h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
228,2.csv_Day7_18h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
229,2.csv_Day7_18h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
230,2.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
231,2.csv_Day7_19h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
232,2.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,2.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,2.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,2.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,2.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,2.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,2.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,2.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,2.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,2.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,2.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,2.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,2.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,2.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,2.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,2.csv_Day8_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,2.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,2.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
250,2.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
251,2.csv_Day8_5h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
252,2.csv_Day8_6h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
253,2.csv_Day8_6h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
254,2.csv_Day8_7h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.1
255,2.csv_Day8_7h30m,0.0,0.2,0.0,1.07,1.05,1.39,1.73,2.2,5.68
256,2.csv_Day8_8h00m,2.82,4.2,5.32,6.5,7.55,7.5,8.3,9.07,9.96
257,2.csv_Day8_8h30m,6.06,8.55,11.48,13.99,15.13,14.8,15.91,16.08,18.15
258,2.csv_Day8_9h00m,8.83,13.67,18.73,20.97,21.45,23.0,24.12,24.23,25.3
259,2.csv_Day8_9h30m,12.28,19.52,23.66,28.15,28.96,30.14,30.41,32.39,32.62
260,2.csv_Day8_10h00m,17.57,23.83,31.12,34.39,35.06,37.01,38.01,37.65,39.77
261,2.csv_Day8_10h30m,20.55,27.68,35.25,39.78,40.87,42.76,43.97,43.72,44.9
262,2.csv_Day8_11h00m,20.09,30.18,36.95,41.85,42.97,46.5,47.21,48.09,47.61
263,2.csv_Day8_11h30m,21.69,33.01,39.61,44.06,47.1,49.66,50.0,51.16,52.94
264,2.csv_Day8_12h00m,22.14,33.74,41.83,46.2,46.8,49.91,51.31,52.69,53.44
265,2.csv_Day8_12h30m,21.12,33.44,34.85,44.23,43.83,49.22,49.03,51.46,54.12
266,2.csv_Day8_13h00m,21.1,31.54,33.44,41.52,44.08,46.33,48.1,50.77,51.3
